video_id,in_phase2,in_v1,has_transcript,status
U9beCVRmpCc,True,False,False,phase2_missing_transcript
UG8DzCVxldI,True,False,False,phase2_missing_transcript
UHhXcXrHbFA,True,False,False,phase2_missing_transcript
UInzQ1ZCR0E,True,False,False,phase2_missing_transcript
UJPAHpPTt1Y,True,False,False,phase2_missing_transcript
UKD0yfZHj4Y,False,True,False,legacy_only
ULYfXTvQRgw,False,True,True,legacy_only_with_transcript
UMSIaxSdOa4,True,False,False,phase2_missing_transcript
US9UELGrkWE,True,False,False,phase2_missing_transcript
UUCxcpRIovU,False,True,False,legacy_only
UV-kfLDCDHE,False,True,True,legacy_only_with_transcript
UVoznB0DW5k,True,False,False,phase2_missing_transcript
UZ8Er3yfWQQ,True,False,False,phase2_missing_transcript
UdP_gGiIWq0,True,False,False,phase2_missing_transcript
Ug8OoFAFfZ0,False,True,True,legacy_only_with_transcript
Ui4Evwvx2io,True,False,False,phase2_missing_transcript
Uj7KlwPMsKU,False,True,True,legacy_only_with_transcript
Uk2MNaV2cW8,True,False,False,phase2_missing_transcript
UlQn95zsEe8,True,True,False,phase2_missing_transcript
UnNImpebWA8,False,True,True,legacy_only_with_transcript
Uq5lLuKMMKQ,False,True,False,legacy_only
UqFEcKCGCRI,True,False,False,phase2_missing_transcript
Us69_36cjg0,True,False,False,phase2_missing_transcript
UtZhEoHiido,True,False,False,phase2_missing_transcript
UwKuh0x56dM,False,True,True,legacy_only_with_transcript
Ux0Cc9Gj5R8,False,True,True,legacy_only_with_transcript
UxnQCbsBc2c,True,False,False,phase2_missing_transcript
Uyr5O1Twadg,True,False,False,phase2_missing_transcript
V-f6lHtjtKo,False,True,True,legacy_only_with_transcript
V33bIkpFR1A,True,False,False,phase2_missing_transcript
V3M7z2b5Sx4,True,False,False,phase2_missing_transcript
V4QOUPfdhzk,False,True,True,legacy_only_with_transcript
V4bK7BdAm-o,True,False,False,phase2_missing_transcript
VEu1MUKMAHU,True,False,False,phase2_missing_transcript
VHEbukPnpoU,False,True,True,legacy_only_with_transcript
VKqzSv509xk,True,False,False,phase2_missing_transcript
VLf_UT-d_Ao,True,False,False,phase2_missing_transcript
VPJwv5iWDF4,True,False,False,phase2_missing_transcript
VR0brYQrBTA,False,True,True,legacy_only_with_transcript
VT5itSvfn5g,True,False,False,phase2_missing_transcript
VWRLYm3qBI4,True,False,False,phase2_missing_transcript
VXxv1V4_7qg,True,False,False,phase2_missing_transcript
V_qBVguvIkc,True,False,False,phase2_missing_transcript
VaNjy2uH4vk,False,True,False,legacy_only
VbC5UGqsh24,True,False,False,phase2_missing_transcript
VbEvG2anY9Y,False,True,False,legacy_only
VbFIwa_nM6g,False,True,False,legacy_only
VjcqJMSG0ss,False,True,False,legacy_only
Vk6H0oT1n2U,True,True,True,phase2_with_transcript
Vlbp-5Rvs6s,False,True,False,legacy_only
VrapD4xGH1k,False,True,False,legacy_only
VsGPjzPndHc,True,False,False,phase2_missing_transcript
Vts-iZHyPgA,False,True,False,legacy_only
VuWWSufO4as,True,False,False,phase2_missing_transcript
VuvYdsYQnH4,False,True,True,legacy_only_with_transcript
VwdQtYw-F6E,True,False,False,phase2_missing_transcript
VzBqEC3qk3Q,True,False,False,phase2_missing_transcript
W368mCxoVwg,False,True,False,legacy_only
W8eP9ZZqofU,True,False,False,phase2_missing_transcript
WAD8Wao5gQw,True,False,False,phase2_missing_transcript
WAfOhlCp914,True,False,False,phase2_missing_transcript
WByunqNwPQU,False,True,True,legacy_only_with_transcript
WDhvcUSkggo,True,False,False,phase2_missing_transcript
WEjHA0rWaJ4,True,False,False,phase2_missing_transcript
WG4UmATp1Vs,True,False,False,phase2_missing_transcript
WMFphvkfX1E,False,True,True,legacy_only_with_transcript
WN-tmK4LVC4,False,True,False,legacy_only
WOQMuj49-IY,True,False,False,phase2_missing_transcript
WOmwRyHehAE,False,True,False,legacy_only
WRBvlfHrhsc,False,True,False,legacy_only
WSqRYyKPWeY,True,False,False,phase2_missing_transcript
WWvE-QGVmAM,True,False,False,phase2_missing_transcript
WXuj8s3xYo8,False,True,True,legacy_only_with_transcript
WcbyV7bdIyg,False,True,False,legacy_only
Wl1FCBaqLWk,True,False,False,phase2_missing_transcript
Wn8MJoHHzq0,True,False,False,phase2_missing_transcript
WnpukzPVEqk,True,False,False,phase2_missing_transcript
WrMB_KCXHPg,False,True,True,legacy_only_with_transcript
